Superficie,Tourney_Level,Cat_Rank,Cat_Age,Cat_Ht,Fav_Hand,Hand_Matchup,Cat_Ace,Cat_DF,Cat_ServiceWinPerc,Risultato_Favorevole
Hard,A,FavoritoNetto,Superiore,Inferiore,L,Opposta,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Medio,Superiore,Inferiore,Vittoria
Hard,A,FavoritoMedio,Medio,Medio,R,Opposta,Superiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Medio,L,Opposta,Superiore,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Medio,Inferiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Medio,Superiore,Vittoria
Hard,A,Equilibrato,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Inferiore,Vittoria
Hard,A,FavoritoNetto,Medio,Medio,R,StessaMano,Medio,Superiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Superiore,Inferiore,Superiore,Vittoria
Hard,A,Equilibrato,Medio,Superiore,R,StessaMano,Superiore,Inferiore,Medio,Sconfitta
Hard,A,FavoritoMedio,Inferiore,Medio,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Medio,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Superiore,Medio,L,Opposta,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Inferiore,Medio,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Medio,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Inferiore,Inferiore,R,StessaMano,Superiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Medio,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Medio,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Inferiore,Medio,R,StessaMano,Medio,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Superiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Medio,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Medio,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Medio,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Inferiore,Superiore,L,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,A,Equilibrato,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
